name,price,secondaryPrice,markupPercent,description,estimatedTimeHours
Install Satellite Dish,17400,16100,23.2843,,2.8
Replace Existing Aerial,6900,5700,13.3053,,1.1
Install Loft TV Aerial,11400,10100,21.0623,,1.8
Install External TV Aerial,24400,23100,23.6842,,4
Refrigerant top‑up (labour only),7400,6200,20.3081,,1.1
AC servicing (1 unit),12900,11600,24.1667,,2
Refrigerant leak test (1 system),13400,12100,23.5247,,2.1
Deep clean & coil sanitisation (1 unit),17900,16600,22.8351,,2.9
AC servicing (2 units),21400,20100,26.0736,,3.4
AC servicing (3 units),29400,28100,25.0737,,4.8
AC servicing (4 units),37400,36100,26.2156,,6.1
AC servicing (5 units),45400,44100,26.9679,,7.4
Battery-Powered Fire Alarm,8400,7100,26.0417,,1.2
Wired Fire Alarm System,14400,13200,18.3616,,2.4
Domestic Fire Alarm Service (Up to 10 devices),8400,7200,18.8564,,1.3
Commercial Fire Alarm Service (Up to 15 devices),11400,10100,21.0623,,1.8
Other Appliance Repair,12400,11100,24.8691,,1.9
Washing Machine Repair (Freestanding),12400,11100,24.8691,,1.9
Tumble Dryer Repair (Freestanding),12400,11100,24.8691,,1.9
Dishwasher Repair (Freestanding),12400,11100,24.8691,,1.9
Fridge / Freezer Repair (Freestanding),12400,11100,24.8691,,1.9
Cooker Repair (Freestanding),12400,11100,24.8691,,1.9
Electric / Induction Hob Repair,12400,11100,24.8691,,1.9
Microwave Repair,12400,11100,24.8691,,1.9
Vacuum Repair,12400,11100,24.8691,,1.9
Washing Machine Repair (Integrated),13400,12100,23.5247,,2.1
Tumble Dryer Repair (Integrated),13400,12100,23.5247,,2.1
Dishwasher Repair (Integrated),13400,12100,23.5247,,2.1
Fridge / Freezer Repair (Integrated),13400,12100,23.5247,,2.1
Oven Repair,13400,12100,23.5247,,2.1
Air Conditioning Repair,13400,12100,23.5247,,2.1
Gas Boiler Service,9400,8200,14.3392,,1.56
Burglar Alarm Service (Up to 6 Zones),9400,8100,23.9726,,1.4
Burglar Alarm Service (7-12 Zones),14400,13100,22.3935,,2.3
Hang a Barn Door,18400,17200,19.2308,,3.1
Cat flap install in uPVC door,13000,11700,25,,2
Cat flap install in wooden door,13000,11700,25,,2
Hang a Concealed Hinge Door,31400,30200,18.2848,,5.5
Install Architrave (per door side),6900,5600,21.2121,,1
Hang an Internal Door,12900,11500,29.2321,,1.9
Hang an Offset Pivot Door,18400,17200,19.2308,,3.1
Sand and Repaint a Door,15900,14600,28.9548,,2.4
Repair Door Trim,9900,8500,29.6804,,1.4
Replace Door Frame,18900,17600,28.7663,,2.9
Hang a Solid Core Door,18900,17600,28.7663,,2.9
Assemble a Standing Desk,5900,4800,6.0606,,1
Assemble a Charcoal Kettle BBQ Grill,5900,4800,6.0606,,1
Assemble a Gas BBQ Grill (2-3 burners),9400,8000,31.0219,,1.3
Assemble a Gas BBQ Grill (4-6 burners),10900,9600,27.439,,1.6
Assemble a Bed (Double),6400,5200,13.6364,,1
Assemble a Bed (King),6900,5600,21.2121,,1
Assemble a Bed (Single),5900,4800,6.0606,,1
Assemble a Storage Bed (Single),8900,7600,24.9392,,1.3
Assemble a Storage Bed (Double),9900,8500,29.6804,,1.4
Assemble a Storage Bed (King),10900,9600,27.439,,1.6
Assemble a 2-Drawer Chest,5900,4800,6.0606,,1
Assemble a 3-Drawer Chest,7900,6600,27.3109,,1.1
Assemble a 4-Drawer Chest,9900,8500,29.6804,,1.4
Assemble a 5-Drawer Chest,11900,10600,25.641,,1.8
Assemble a 6-Drawer Chest,13900,12600,27.512,,2.1
Assemble a Coffee Table,5900,4800,6.0606,,1
Assemble a Cube Storage Unit (Up To 6 Cubes),5900,4800,6.0606,,1
Assemble a Cube Storage Unit (Up To 12 Cubes),7900,6600,27.3109,,1.1
Assemble a Cube Storage Unit (Over 12 Cubes),8900,7600,24.9392,,1.3
Assemble 1-4 Dining Chairs,5900,4800,6.0606,,1
Assemble 5-6 Dining Chairs,6400,5200,13.6364,,1
Assemble 7-8 Dining Chairs,7400,6200,20.3081,,1.1
Assemble a Dining Table (up to 6 Seats),5900,4800,6.0606,,1
Assemble a Dining Table (up to 12 Seats),7900,6700,19.5313,,1.2
Assemble a Filing Cabinet,6900,5600,21.2121,,1
Assemble a Bookcase (less than 1m wide),5900,4800,6.0606,,1
Assemble a Bookcase (more than 1m wide),7900,6600,27.3109,,1.1
Assemble a Flat-Pack Cabinet (less than 1m wide),6900,5600,21.2121,,1
Assemble a Flat-Pack Cabinet (more than 1m wide),8900,7600,24.9392,,1.3
Assemble a Sofa (2-3 seats),5900,4800,6.0606,,1
Assemble a Sofa (sectional / L-shape),6900,5600,21.2121,,1
Assemble a Sofa Bed,6900,5600,21.2121,,1
Assemble a Shelving Unit (more than 1m Wide),5900,4800,6.0606,,1
Assemble a Shelving Unit (less than 1m Wide),7900,6600,27.3109,,1.1
Assemble a Garden Bench,5900,4800,6.0606,,1
Assemble a Garden Table,5900,4800,6.0606,,1
Wardrobe (less than 1.5m wide) with hinge doors,12400,11000,30.2198,,1.8
Wardrobe (more than 1.5m wide) with hinge doors,19400,18100,28.1609,,3
Built-in Wardrobe (less than 1.5m wide) with hinge doors,19400,18100,28.1609,,3
Built-in Wardrobe (more than 1.5m wide) with hinge doors,24400,23100,29.0055,,3.8
Assemble a Hospital Bed,11900,10600,25.641,,1.8
Assemble an Office Chair,5900,4800,6.0606,,1
